dataset,system,tau_s,tau_m,calib_balanced_acc,n_total,n_answerable,n_unanswerable,coverage_all,coverage_answerable,false_refusal_answerable,refusal_unanswerable,hallucination_unanswerable,answer_retention,balanced_abstention_accuracy,refusal_precision,refusal_recall,refusal_f1,f1_all_answerable,em_all_answerable,f1_answered_only,em_answered_only,citation_when_answered
squad,RAG+Rerank+Abstain,5.0,-5.0,0.6026819923371647,420,215,205,0.4785714285714286,0.6232558139534884,0.3767441860465116,0.6731707317073171,0.3268292682926829,0.6232558139534884,0.6482132728304028,0.6301369863013698,0.6731707317073171,0.6509433962264151,0.10541312959626482,0.009302325581395349,0.16913300644176818,0.014925373134328358,0.9253731343283582
squad,BM25,,,,420,215,205,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.1582546880883926,0.018604651162790697,0.1582546880883926,0.018604651162790697,0.7627906976744186
squad,NaiveRAG,,,,420,215,205,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.14085491406206893,0.018604651162790697,0.14085491406206893,0.018604651162790697,0.6837209302325581
squad,RAG+Rerank,,,,420,215,205,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.17200491915880511,0.018604651162790697,0.17200491915880511,0.018604651162790697,0.8651162790697674
squad,AutoRAG,,,,420,215,205,0.45476190476190476,0.6093023255813953,0.39069767441860465,0.7073170731707317,0.29268292682926833,0.6093023255813954,0.6583096993760635,0.6331877729257642,0.7073170731707317,0.6682027649769585,0.12094679123497676,0.023255813953488372,0.19086687111083972,0.030534351145038167,0.9618320610687023
enterprise,RAG+Rerank+Abstain,-0.5,-5.0,0.9774774774774775,183,164,19,0.8743169398907104,0.9695121951219512,0.03048780487804878,0.9473684210526315,0.052631578947368474,0.9695121951219512,0.9584403080872914,0.782608695652174,0.9473684210526315,0.8571428571428571,0.3204835229775683,0.006097560975609756,0.33056162118441007,0.006289308176100629,0.9811320754716981
enterprise,BM25,,,,183,164,19,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.304530457000433,0.006097560975609756,0.304530457000433,0.006097560975609756,0.8780487804878049
enterprise,NaiveRAG,,,,183,164,19,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.31639915833455945,0.006097560975609756,0.31639915833455945,0.006097560975609756,0.9573170731707317
enterprise,RAG+Rerank,,,,183,164,19,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.3253540205989532,0.006097560975609756,0.3253540205989532,0.006097560975609756,0.9695121951219512
enterprise,AutoRAG,,,,183,164,19,0.8743169398907104,0.9695121951219512,0.03048780487804878,0.9473684210526315,0.052631578947368474,0.9695121951219512,0.9584403080872914,0.782608695652174,0.9473684210526315,0.8571428571428571,0.3204835229775683,0.006097560975609756,0.33056162118441007,0.006289308176100629,0.9811320754716981
squad,HyDE,,,,420,205,215,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.1663782256958051,0.014634146341463415,0.1663782256958051,0.014634146341463415,0.8634146341463415
enterprise,HyDE,,,,183,166,17,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.33182565383659973,0.012048192771084338,0.33182565383659973,0.012048192771084338,0.9819277108433735
