dataset,qid,domain,top_score,margin,f1,prediction,cite_doc,cite_para
squad,57060cc352bb89140068980e,geography,4.805417060852051,8.891018465161324,0.0,,,
squad,5726e3c4dd62a815002e9405,medicine,4.477295875549316,5.338200926780701,0.0,,,
squad,573403394776f419006616e0,history,1.1199469566345215,5.640177831053734,0.0,,,
squad,5730131c947a6a140053d055,history,5.023550033569336,7.424971729516983,0.0,,,
squad,571c3a685efbb31900334db4,science,4.667234420776367,1.4302974939346313,0.0,,,
squad,57340111d058e614000b677d,history,0.8332071900367737,6.33188933134079,0.0,,,
squad,5705edcd52bb8914006896ce,geography,2.58994722366333,6.822693407535553,0.0,,,
squad,5728e5224b864d1900165032,history,5.133050918579102,1.3231419324874878,0.0,,,
squad,572fb42904bcaa1900d76c18,law,5.247159004211426,4.721135497093201,0.0,,,
squad,5737a4511c456719005744e1,science,3.8965659141540527,13.272786855697632,0.0,,,
squad,5727478cf1498d1400e8f59b,education,0.07028608024120331,7.647260591387749,0.0,,,
squad,57264991f1498d1400e8db30,history,3.195233106613159,9.191188335418701,0.0,,,
squad,57293bc91d0469140077919c,science,4.226435661315918,13.54158353805542,0.0,,,
squad,572ff83ab2c2fd1400568682,geography,5.2634992599487305,11.316791772842407,0.0,,,
squad,572864542ca10214002da2e0,education,0.3973183035850525,5.6816083788871765,0.0,,,
squad,5737958b1c456719005744c3,science,1.1928880214691162,10.398643016815186,0.0,,,
squad,5726ea985951b619008f8263,medicine,2.5114526748657227,7.4057424664497375,0.0,,,
squad,5729f4273f37b319004785fd,economics,4.575440406799316,6.345677454024553,0.0,,,
squad,57339dd94776f41900660ecf,geography,3.7783632278442383,12.650262117385864,0.0,,,
squad,57293ca73f37b3190047815f,science,1.3726259469985962,0.47861067950725555,0.0,,,
squad,572fc78d04bcaa1900d76d0b,law,5.25323486328125,1.3928027749061584,0.0,,,
squad,571155ae2419e31400955594,engineering,3.488086700439453,5.835855733603239,0.0,,,
squad,570d4c3bfed7b91900d45e32,geography,2.8460495471954346,11.723308086395264,0.0,,,
squad,572f5533a23a5019007fc55e,geography,4.921921730041504,1.732373058795929,0.0,,,
squad,5729ea263f37b319004785be,geography,5.097539901733398,14.375551462173462,0.0,,,
squad,57283f014b864d19001647eb,education,4.260061264038086,5.064227044582367,0.0,,,
squad,5733f8dc4776f419006615fb,history,1.7738571166992188,4.453034874051809,0.0,,,
squad,57283adcff5b5019007d9f94,geography,2.476882219314575,5.724307984113693,0.0,,,
squad,5733f5f24776f419006615c3,history,0.2559230625629425,4.680532842874527,0.0,,,
squad,5728848cff5b5019007da29a,history,-7.49360466003418,1.0488457679748535,0.0,,,
squad,56de0ffd4396321400ee258e,history,3.7897677421569824,11.854798555374146,0.0,,,
squad,572fd1c4947a6a140053cd05,law,3.694884777069092,10.79422152042389,0.0,,,
squad,56de16ca4396321400ee25c8,history,3.4485254287719727,3.6035751942545176,0.0,,,
squad,5706155352bb891400689896,geography,4.021186351776123,14.246681690216064,0.0,,,
squad,5726eb4b5951b619008f826b,medicine,2.912870407104492,7.2442615032196045,0.0,,,
squad,5728827b2ca10214002da42b,history,5.254073619842529,12.958702087402344,0.0,,,
squad,5726ed6cf1498d1400e8f00f,medicine,4.223392486572266,3.2369262874126434,0.0,,,
squad,571155ae2419e31400955591,engineering,4.811614036560059,3.385675549507141,0.0,,,
squad,57265bdfdd62a815002e829f,history,3.3213820457458496,14.28397250175476,0.0,,,
squad,572820512ca10214002d9e74,geography,3.097743511199951,3.731697641313076,0.0,,,
